time,power,is
2017/7/27,5.4304,1
2017/7/28,5.2096,1
2017/7/29,4.42,1
2017/7/30,4.34,1
2017/7/31,4.5104,1
2017/8/1,3.9392,1
2017/8/2,4.6608,1
2017/8/3,4.7392,1
2017/8/4,4.5008,1
2017/8/5,4.9096,1
2017/8/6,5.42,1
2017/8/7,5.86,1
2017/8/8,5.9,1
2017/8/9,5.0304,1
2017/8/10,5.2992,1
2017/8/11,5.2704,1
2017/8/12,5.62,1
2017/8/13,4.58,1
2017/8/14,3.84,1
2017/8/15,3.98,1
2017/8/16,3.9896,1
2017/8/17,4.2904,1
2017/8/18,4.3496,1
2017/8/19,4.3304,1
2017/8/20,3.8904,1
2017/8/21,4.0592,1
2017/8/22,4.2704,1
2017/8/23,4.4304,1
2017/8/24,5.28,1
2017/8/25,5.12,1
2017/8/26,4.4096,1
2017/8/27,4.0304,1
2017/8/28,4.04,1
2017/8/29,4.0896,1
2017/8/30,23.3504,-1
2017/8/31,3.08,1
2017/9/1,3.1896,1
2017/9/2,3.2,1
2017/9/3,3.24,1
2017/9/4,3.26,1
2017/9/5,3.3504,1
2017/9/6,3.4296,1
2017/9/7,3.4,1
2017/9/8,3.5,1
2017/9/9,3.62,1
2017/9/10,3.6296,1
2017/9/11,3.4208,1
2017/9/12,3.4592,1
2017/9/13,3.5008,1
2017/9/14,3.5696,1
2017/9/15,3.6304,1
2017/9/16,3.7792,1
2017/9/17,3.8104,1
2017/9/18,3.82,1
2017/9/19,3.8704,1
2017/9/20,3.9096,1
2017/9/21,3.74,1
2017/9/22,3.6896,1
2017/9/23,3.72,1
2017/9/24,3.7008,1
2017/9/25,3.68,1
2017/9/26,3.6,1
2017/9/27,3.52,1
2017/9/28,3.52,1
2017/9/29,3.6192,1
2017/9/30,3.7504,1
2017/10/1,3.6304,1
2017/10/2,3.3696,1
2017/10/3,3.52,1
2017/10/4,3.3696,1
2017/10/5,2.9304,1
2017/10/6,3.18,1
2017/10/7,3.4096,1
2017/10/8,3.5304,1
2017/10/9,3.52,1
2017/10/10,3.6104,1
2017/10/11,3.6,1
2017/10/12,3.4992,1
2017/10/13,3.5104,1
2017/10/14,3.5696,1
2017/10/15,3.4904,1
2017/10/16,3.4504,1
2017/10/17,3.48,1
2017/10/18,3.5392,1
2017/10/19,3.5008,1
2017/10/20,3.3392,1
2017/10/21,3.3504,1
2017/10/22,3.3296,1
2017/10/23,3.4,1
2017/10/24,3.4608,1
2017/10/25,3.4192,1
2017/10/26,3.4504,1
2017/10/27,3.44,1
2017/10/28,3.44,1
2017/10/29,3.5304,1
2017/10/30,3.6192,1
2017/10/31,3.5304,1
2017/11/1,3.5896,1
2017/11/2,3.6,1
2017/11/3,3.6208,1
2017/11/4,3.6296,1
2017/11/5,3.7,1
2017/11/6,3.6304,1
2017/11/7,3.6496,1
2017/11/8,3.58,1
2017/11/9,3.6,1
2017/11/10,3.12,1
2017/11/11,3.58,1
2017/11/12,3.6704,1
2017/11/13,3.6592,1
2017/11/14,3.4904,1
2017/11/15,3.72,1
2017/11/16,3.5,1
2017/11/17,3.58,1
2017/11/18,3.82,1
2017/11/19,4.0704,1
2017/11/20,4.2496,1
2017/11/21,4.1904,1
2017/11/22,4.1392,1
2017/11/23,4.1104,1
2017/11/24,4.0704,1
2017/11/25,4.0592,1
2017/11/26,3.7104,1
2017/11/27,3.56,1
2017/11/28,3.6704,1
2017/11/29,3.8592,1
2017/11/30,4.1904,1
2017/12/1,4.1696,1
2017/12/2,4.1408,1
2017/12/3,4.3392,1
2017/12/4,4.4704,1
2017/12/5,4.7104,1
2017/12/6,4.8096,1
2017/12/7,4.7696,1
2017/12/8,4.7304,1
2017/12/9,4.8,1
2017/12/10,4.66,1
2017/12/11,4.3904,1
2017/12/12,4.24,1
2017/12/13,4.7296,1
2017/12/14,4.78,1
2017/12/15,4.8904,1
2017/12/16,4.7392,1
2017/12/17,4.7904,1
